PRODUCT_NAME,PRICING,URL,BRAND,SCREEN_SIZE,DISPLAY_TYPE,RESOLUTION,OS
"Insignia™ - 70"" Class F30 Series LED 4K UHD Smart Fire TV",$449.99,https://www.bestbuy.com/site/insignia-70-class-f30-series-led-4k-uhd-smart-fire-tv/6492968.p?skuId=6492968,INSIGNIA™,70,LED,4K UHD,Fire
"Samsung - 32"" Class M4500 Series LED HD Smart Tizen TV",$199.99,https://www.bestbuy.com/site/samsung-32-class-m4500-series-led-hd-smart-tizen-tv/6202105.p?skuId=6202105,SAMSUNG,32,LED,HD Smart,Tizen
"LG - 75"" Class UQ9000 Series LED 4K UHD Smart webOS TV",$779.99,https://www.bestbuy.com/site/lg-75-class-uq9000-series-led-4k-uhd-smart-webos-tv/6501925.p?skuId=6501925,LG,75,LED,4K UHD,webOS
"Samsung - 65"" Class Q70C QLED 4K SMART TV","$1,199.99",https://www.bestbuy.com/site/samsung-65-class-q70c-qled-4k-smart-tv/6537337.p?skuId=6537337,SAMSUNG,65,QLED,SMART TV,Tizen
"Sony - 55"" Class X85K 4K HDR LED Google TV",$779.99,https://www.bestbuy.com/site/sony-55-class-x85k-4k-hdr-led-google-tv/6501540.p?skuId=6501540,SONY,55,4K,LED Google,Google
"Toshiba - 43"" Class C350 Series LED 4K UHD Smart Fire TV",$219.99,https://www.bestbuy.com/site/toshiba-43-class-c350-series-led-4k-uhd-smart-fire-tv/6532119.p?skuId=6532119,TOSHIBA,43,LED,4K UHD,Fire
"LG - 55"" Class UR9000 Series LED 4K UHD Smart webOS TV",$529.99,https://www.bestbuy.com/site/lg-55-class-ur9000-series-led-4k-uhd-smart-webos-tv/6535919.p?skuId=6535919,LG,55,LED,4K UHD,webOS
"Insignia™ - 39"" Class F20 Series LED HD Smart Fire TV",$119.99,https://www.bestbuy.com/site/insignia-39-class-f20-series-led-hd-smart-fire-tv/6492955.p?skuId=6492955,INSIGNIA™,39,LED,HD Smart,Fire
"Hisense - 55"" Class R6G Series LED 4K UHD Smart Roku TV",$279.99,https://www.bestbuy.com/site/hisense-55-class-r6g-series-led-4k-uhd-smart-roku-tv/6492224.p?skuId=6492224,HISENSE,55,LED,4K UHD,Roku
"Sony - 85"" Class X85K 4K HDR LED Google TV","$1,799.99",https://www.bestbuy.com/site/sony-85-class-x85k-4k-hdr-led-google-tv/6501506.p?skuId=6501506,SONY,85,4K,LED Google,Google
"Sony - 65"" Class X85K 4K HDR LED Google TV",$999.99,https://www.bestbuy.com/site/sony-65-class-x85k-4k-hdr-led-google-tv/6501510.p?skuId=6501510,SONY,65,4K,LED Google,Google
"Sony - 43"" Class X80K Series LED 4K HDR Smart Google TV",$499.99,https://www.bestbuy.com/site/sony-43-class-x80k-series-led-4k-hdr-smart-google-tv/6499743.p?skuId=6499743,SONY,43,LED,4K HDR,Google
"LG - 65"" Class 80 Series QNED 4K UHD Smart webOS TV","$1,099.99",https://www.bestbuy.com/site/lg-65-class-80-series-qned-4k-uhd-smart-webos-tv/6535923.p?skuId=6535923,LG,65,QNED,4K UHD,webOS
"Samsung - 70"" Class Q60C QLED 4K Smart Tizen TV","$1,099.99",https://www.bestbuy.com/site/samsung-70-class-q60c-qled-4k-smart-tizen-tv/6537361.p?skuId=6537361,SAMSUNG,70,QLED,Smart Tizen,Tizen
"LG - 86"" Class 80 Series QNED 4K UHD Smart webOS TV","$1,599.99",https://www.bestbuy.com/site/lg-86-class-80-series-qned-4k-uhd-smart-webos-tv/6501908.p?skuId=6501908,LG,86,QNED,4K UHD,webOS
"Samsung - 55"" Class QN700B Neo QLED 8K Smart TV",$999.99,https://www.bestbuy.com/site/samsung-55-class-qn700b-neo-qled-8k-smart-tv/6517114.p?skuId=6517114,SAMSUNG,55,Neo,8K Smart,Tizen
"Samsung - 55"" Class Q70C QLED 4K Smart TV",$899.99,https://www.bestbuy.com/site/samsung-55-class-q70c-qled-4k-smart-tv/6537339.p?skuId=6537339,SAMSUNG,55,QLED,Smart TV,Tizen
"Insignia™ - 24"" Class F20 Series LED Full HD Smart Fire TV",$139.99,https://www.bestbuy.com/site/insignia-24-class-f20-series-led-full-hd-smart-fire-tv/6490138.p?skuId=6490138,INSIGNIA™,24,LED,Full HD,Fire
"LG - 77"" Class G3 Series OLED 4K UHD Smart webOS TV with One Wall Design","$4,299.99",https://www.bestbuy.com/site/lg-77-class-g3-series-oled-4k-uhd-smart-webos-tv-with-one-wall-design/6535934.p?skuId=6535934,LG,77,OLED,4K UHD,Wall
"Sony - 50"" Class X85K 4K HDR LED Google TV",$699.99,https://www.bestbuy.com/site/sony-50-class-x85k-4k-hdr-led-google-tv/6501543.p?skuId=6501543,SONY,50,4K,LED Google,Google
"Sony - 85"" Class X80K Series LED 4K HDR Smart Google TV","$1,499.99",https://www.bestbuy.com/site/sony-85-class-x80k-series-led-4k-hdr-smart-google-tv/6501505.p?skuId=6501505,SONY,85,LED,4K HDR,Google
"VIZIO - 40"" Class D-Series LED 1080P Smart TV",$169.99,https://www.bestbuy.com/site/vizio-40-class-d-series-led-1080p-smart-tv/6465459.p?skuId=6465459,VIZIO,40,OLED,4K UHD,Class
"Pioneer - 43"" Class LED 4K UHD Smart Fire TV",$189.99,https://www.bestbuy.com/site/pioneer-43-class-led-4k-uhd-smart-fire-tv/6462309.p?skuId=6462309,PIONEER,43,4K,Smart Fire,Fire
"TCL - 50"" Class 5-Series 4K UHD QLED Dolby Vision HDR Smart Roku TV",$399.99,https://www.bestbuy.com/site/tcl-50-class-5-series-4k-uhd-qled-dolby-vision-hdr-smart-roku-tv/6514543.p?skuId=6514543,TCL,50,QLED,4K UHD,Class
"Samsung - 32"" Class Q60C QLED 4K Smart Tizen TV",$499.99,https://www.bestbuy.com/site/samsung-32-class-q60c-qled-4k-smart-tizen-tv/6537415.p?skuId=6537415,SAMSUNG,32,QLED,Smart Tizen,Tizen
"Samsung - 55"" Class QN85B Neo QLED 4K Smart Tizen TV",$899.99,https://www.bestbuy.com/site/samsung-55-class-qn85b-neo-qled-4k-smart-tizen-tv/6500311.p?skuId=6500311,SAMSUNG,55,Neo,4K Smart,Tizen
"Hisense - 43"" Class A6 Series LED 4K UHD Smart Google TV",$229.99,https://www.bestbuy.com/site/hisense-43-class-a6-series-led-4k-uhd-smart-google-tv/6501800.p?skuId=6501800,HISENSE,43,LED,4K UHD,Google
